"","CORT_1","CORT_2","CORT_3","CORT_4","MED_1","MED_2","MED_3","MED_4"
"ENSMUSG00000019320.14",89.148558372066,76.1236574332064,80.6477576400795,76.499841037247,114.81899339733,65.7353535282631,37.6688245827617,66.3195581479255
"ENSMUSG00000019326.14",46.8522174791986,34.4905937337575,49.3595083682747,37.6710535171849,224.016615634486,131.549958922817,83.7112433488542,124.484268195707
"ENSMUSG00000019338.13",1008.52777049876,898.946613714848,1096.05776567098,814.24492159775,1800.89491735739,1064.3819516897,728.357398474382,1125.06763541692
"ENSMUSG00000019359.14",5,0,6,3,2,2,1,0
"ENSMUSG00000019362.8",1318,1303,1546,1398,2185,1309,983,1482
"ENSMUSG00000019368.13",0,0,0,0,0,0,0,0
"ENSMUSG00000019370.10",12381.4920369358,10811,13192.7698853583,11515,18083,11204,7993,11808
"ENSMUSG00000019373.11",2630.67886215334,2368.91256574973,2776.70031607435,2282.57365897048,4032.18538790911,2222,1724.54015012315,2391.73724076194
"ENSMUSG00000019428.16",5418.14123106932,4794.00982804679,5217.22534640558,4602.0943651748,7627.77261822324,4481.01729064163,3363.04322870008,4729.55948170536
"ENSMUSG00000019429.7",0,0,0,0,0,0,0,0
"ENSMUSG00000019432.15",7007,6018,7384,6057,11867,6633,4854,6782
"ENSMUSG00000019433.9",2240,2176,2587,2122,3394,2093,1525,2111
"ENSMUSG00000019437.17",60.1427057281445,41.7358756018365,46.9316993811652,43.833224423132,76.6438299617272,40.5649929515097,30.9550476307622,51.3581950701763
"ENSMUSG00000019461.12",7925.91231379411,6367,8454.88358364135,6844.75983119742,12337.7126898343,7174.92747411158,5223.87921245804,7393.72559865962
"ENSMUSG00000019464.6",142.203663102004,125.255072041619,123.425139520114,154.788085677355,232.691424374973,114.220112827369,63.4234294526026,130.699037921328
"ENSMUSG00000019467.15",794,702,883,771,1340,754,489,741
"ENSMUSG00000019470.12",1442.57443368514,1271,1525,1252,2270,1358,930.61208378176,1415
"ENSMUSG00000019471.10",8642.62297703314,7648.65440691121,8927.98514700005,7742.79588523313,12632.3434736838,7481.56012426519,5557.12735930081,7959.04657092775
"ENSMUSG00000019478.16",704,607,688,633,500,279,220,322
"ENSMUSG00000019487.11",2472,2067,2618,2202,3620,2019,1534,2097
"ENSMUSG00000019489.7",0,0,0,0,0,0,0,0
"ENSMUSG00000019494.14",5795.87087554017,5125,5755.6701055814,5327.12783689988,8204.17229847695,5102.13541149949,3633.88882419126,5222.18760543696
"ENSMUSG00000019505.7",20550.4576368925,13559.4724738894,28280.8217208807,23236.3320511193,33313.1902039372,20686.2280810136,16485.0388725167,21903.9893566275
"ENSMUSG00000019518.11",1134.12000841019,780.590201992708,1166.87181950629,1014.84074057126,1739.70694193281,1025.30377715242,694.220592083862,1059.14465913321
"ENSMUSG00000019528.18",3252,2723,3336,2611,4163,2518,1770,2693
"ENSMUSG00000019539.11",0,0,1,0,2,0,1,2
"ENSMUSG00000019558.14",944.142135847921,766,917.670478519795,708.850794058609,1853.15276068758,1042.29013703519,711.98420861616,1060.16686117909
"ENSMUSG00000019564.12",267.240622644505,212.517625988856,277.511468937241,216.38525586155,304.469523728848,187.401640807167,142.788207209091,179.600546146418
"ENSMUSG00000019577.6",24.3414756653985,14.4624862125613,8.73450407979065,2.20754777759895,22.0799337531806,5.32586110432391,4.30465524542647,9.18568868304892
"ENSMUSG00000019578.11",1074.09502198128,1070.47610196777,1429.86800780639,1109.19488656628,1848.56931176879,1233.67453251295,957.34492655379,1247.74908353832
"ENSMUSG00000019579.13",1938.29183029636,1676.76251564324,2024.97410269459,1768.76601960032,2625.03928035416,1581.83257326728,1213.14930433433,1685.01315983476
"ENSMUSG00000019590.16",2240,1908,2379,1900,1588,970,626,983
"ENSMUSG00000019647.16",535.932761617409,542.037983756213,584.328974568855,509.973502049334,1099.2152182051,617.950066113973,389.428285095893,653
"ENSMUSG00000019659.8",1653,1480,1744,1594,1977.00876515474,1224,868,1359
"ENSMUSG00000019689.4",238,190,227,189,290,175,130,202
"ENSMUSG00000019699.16",1434.43111864593,1155.2469538422,1528.17134671685,1135.08426280919,2116.20760657183,1260,940.427671776239,1300.02031006368
"ENSMUSG00000019710.13",1401.86423832321,1198.57555878685,1421.00131101294,1274.24000783502,1949.34898709354,1107.81534132536,826.27380667841,1264.99073516104
"ENSMUSG00000019715.14",1403.88690490741,1195.96150970369,1358.99350118147,1152,2186.98007095942,1222,876.026901762906,1292.25301964238
"ENSMUSG00000019718.8",24.2999304885698,30.5495968971109,23.3111386920122,30.5571982788797,47.5730644612913,17.2211006914942,14.137533677714,39.4311114681518
"ENSMUSG00000019726.12",1157,986,1116,928,1798,1074,750,1053
"ENSMUSG00000019731.13",2595.47159056511,2119.17900745788,2785.10827434485,2172.03675361679,3692.60127339139,2217.6890974361,1550.38052346779,2318.3301885496
"ENSMUSG00000019732.14",81,77,96,107,217,103,105,125
"ENSMUSG00000019734.16",222.531795463142,162.071471880556,231.949415559387,181.588504710092,339.990795468331,191.193189843977,139.493381372714,210.21723269782
"ENSMUSG00000019737.14",23,8,16,14,23,10,14,8
"ENSMUSG00000019738.15",391.083850865922,301.877705309628,380.587220789925,303.555416216201,487.628832346405,311.586867971031,223.425961166677,337.275452854358
"ENSMUSG00000019756.10",76.6162991567616,98.6585803576336,138.192800924185,86.1584122238058,180.584811403865,87.6536106524514,62.6090678809593,89.3814767019856
"ENSMUSG00000019761.10",30,24,38,36,30,27,14,30
"ENSMUSG00000019762.4",0,0,0,0,0,0,0,0
"ENSMUSG00000019763.11",372.626357736101,387.922411128504,596.993112311606,503.574345502664,849.730990721536,467.194847955252,372.824809639436,494.779307129456
"ENSMUSG00000019767.12",0,0,1.00023619546501,2.01171847274812,2,3.00794052940863,2,1.00265124650666
"ENSMUSG00000019768.16",0,2.05375238359463,2.02767195435481,0,0,0,1,1
"ENSMUSG00000019772.5",3.00047692104189,1,0,2,7,3,4.00007618136359,3.00729499156162
"ENSMUSG00000019773.7",1108.18748374976,956.308999842305,1147.86043105455,957.445422310274,2231.75274950166,1322.07085777864,956.440445090907,1357.18414737574
"ENSMUSG00000019774.8",268.804139857341,215,267,219,368,223,166,236.818804185989
"ENSMUSG00000019775.17",30.3306353104407,19.7022955734756,28.4433376397925,18.6767731890806,59.715041581978,29.0822599548915,18.062764206473,39.5116506337092
"ENSMUSG00000019777.16",4614,3982,4845,4121,7298,4379,3172,4512
"ENSMUSG00000019779.15",396.130041910172,329,458.768417571605,384.43659594982,528.176836821827,311,230,307.140611440528
"ENSMUSG00000019782.10",1877.79472084462,2095.60292355071,2403,2018,3142,1872,1560,2194
"ENSMUSG00000019785.14",0,0,0,1,1,0,0,1
"ENSMUSG00000019787.9",0,0,0,1,0,0,0,1
"ENSMUSG00000019789.9",6,6,6,3,5,0,0,3
"ENSMUSG00000019790.17",2421,2021,2391,2039,3085,1708,1180,1805
"ENSMUSG00000019791.12",330.022142541368,303.066170737515,376.070145006789,319.770675009518,397.268196052606,213.462249120921,174.027056657282,290.77810816112
"ENSMUSG00000019792.8",447,385,478,401,593,364,298,428
"ENSMUSG00000019794.13",344.085902962082,355.840772003229,390.488214111038,336,587.484891758462,380.995662017672,269.49386018124,377
"ENSMUSG00000019795.17",1167.02286098069,1052.15469476918,1258.43378501531,1058.20135291163,1873.31585857674,1099.49063069047,866.949744063932,1171.212691697
"ENSMUSG00000019796.12",71,62.5,68.5,50.5,102.5,59.5,37.5,60.5
"ENSMUSG00000019797.11",365.12666866472,309.178830361865,419.000515133035,325.274885713142,591.207436663114,294.363072633003,275.691379972954,341.215044433087
"ENSMUSG00000019802.13",4580.52312716437,3955.85141902669,4820.79384887021,3969.78962355929,7313.93736499446,4231.09055717174,3180.07122230857,4464.39085680016
"ENSMUSG00000019803.11",1.00530297234431,0,2.00263482508304,5,7.0127215356432,1.00161803956089,2.00517855718675,2
"ENSMUSG00000019804.12",5900,5607,6674,5643,8270,5081,3689,5353
"ENSMUSG00000019806.13",49.0489615875993,39.0091393720316,60.3799873562178,48.4127732692818,75.1748130413889,42.0343592538309,23.6801923847985,34.2347910491214
"ENSMUSG00000019808.8",197.321221573258,195.531451517473,275.496731803006,240.450263842451,360.699509358556,232.849022311767,143.604871601556,244.601193143559
"ENSMUSG00000019809.16",770.851420815035,633.474247062017,709.506658331912,645.60883136805,1032.36397059744,652.154238758758,478.417566858985,649.400071688626
"ENSMUSG00000019810.15",1481.98738015555,1355.13224442523,1607.44639802108,1350.22486281238,2196.86300649272,1344.87319303836,949.496545853837,1363.26637213333
"ENSMUSG00000019813.16",585.488033253998,508.046264002721,605.419821543583,429,907.722024679776,527.306005715944,393.66790154433,600.039602370128
"ENSMUSG00000019814.5",1519,1252,1509,1248,1941,1208,914,1332
"ENSMUSG00000019815.7",0,0,0,0,0,0,0,0
"ENSMUSG00000019817.18",106,96,121,116,234,145.614179251384,98,120
"ENSMUSG00000019818.15",6364,5336,6715,5467,9703,5500,4113,5794
"ENSMUSG00000019820.11",25636.0307769227,22859.1655470116,26312.3743289112,22240.8779741807,38346.8800535462,22780,15167.0116438767,23400
"ENSMUSG00000019822.12",1000.21230049806,835.523994547946,1016.15411401928,906.927337393185,1544.08873683576,877.706250095212,654.738388971119,963.0297274586
"ENSMUSG00000019823.17",794.787699501942,696.476005452054,843.845885980719,666.072662606815,1287.91126316424,784.293749904788,524.261611028881,756.970272541399
"ENSMUSG00000019826.11",519.036866395737,464.833892397967,529.979542229789,464.556972844136,840.430359674615,489.457514774249,386.304853870536,545.531263775727
"ENSMUSG00000019828.13",21.2160186791921,7.13099259161843,16.2093087285184,15.1470956549621,37.4397535301794,24.281975583493,14.1550278177556,22.3233224588856
"ENSMUSG00000019831.14",76,48,79,64,66,36,23,41
"ENSMUSG00000019832.5",1584,1385,1671,1343,2576,1529,1111,1596
"ENSMUSG00000019834.15",0,0,0,0,0,0,0,0
"ENSMUSG00000019836.5",0,0,0,0,0,0,0,0
"ENSMUSG00000019837.8",1038,863,1050,890,1581,961,687,960
"ENSMUSG00000019838.11",44.6593467329879,27.5875008632951,51.9021462390746,46.0592232379762,90.7777604252938,41.3424547676958,25.5651170569548,52.0251187792745
"ENSMUSG00000019841.15",1940,1653,1936,1678,3166,1805,1306,1836
"ENSMUSG00000019842.6",393,324,390,312,645,394,272,364
"ENSMUSG00000019843.14",7045,5999,7084,6085,9580,5869,4078,6160
"ENSMUSG00000019845.8",193.505759951535,176.182945664861,214.281275556249,164.477442073849,391.190648640077,186.110378074061,151.312593893643,197.584672223052
"ENSMUSG00000019846.11",2239,1930,2154,1776,3780,2227,1638,2362
"ENSMUSG00000019848.14",4,3,2,4,39,17,16,21
"ENSMUSG00000019849.11",4738.48529343016,4174.42431540859,4997.58861894936,4033.48528147559,8358.97847296702,4955.66678922027,3467.56865927564,5116.49525593567
"ENSMUSG00000019850.11",261,209,289,252,468,228,179,246
"ENSMUSG00000019851.8",0,0,0,1,2,1,0,0
"ENSMUSG00000019852.7",0,2,2,0,0,0,0,1
"ENSMUSG00000019853.6",1,3,0,0,0,4,0,0
"ENSMUSG00000019854.17",1569.59206565262,1286.30855858937,1684.3255287637,1339.69959016087,2491.61250723581,1435.63416704858,1095.70502015758,1491.87963711396
"ENSMUSG00000019856.14",2.35704276462537,4.0514467128826,5.26961292175116,5.41648510895375,12.3208783293515,2.28833703523376,0,3.51857147312656
"ENSMUSG00000019857.7",930.205647397056,754.901261959916,954.521030831578,801.546635002397,1506.0325520832,925.826892931834,683.364672931953,934.548470392256
"ENSMUSG00000019861.15",4002,3505,4094,3440,3640,2050,1525,2175
"ENSMUSG00000019863.7",415,386,427,398,662,365,277,388
"ENSMUSG00000019864.14",475.479847950401,384,454,374,637.400855767229,378.602175747112,237,416
"ENSMUSG00000019865.9",2,0,0,1,2,2,1,0
"ENSMUSG00000019866.14",62.5201520495994,45.752142475998,85,50,105.88662111175,48.3978242528878,41,68
"ENSMUSG00000019867.4",8.48506905267516,5.07567526268533,0,3.50603783073628,0,0,1.1823605179205,0
"ENSMUSG00000019868.16",1497,1395,1573,1369,2396,1522,1124,1513
"ENSMUSG00000019872.13",142,117,143,125,185,117,66,115
"ENSMUSG00000019873.8",3057.65498812748,2475.10580942483,3276.34987898555,2504.96569769525,4354.00066758602,2538.39941508061,1753.45895045505,2603.10402936979
"ENSMUSG00000019874.11",2,1,2,1,0,0,0,1
"ENSMUSG00000019876.15",40.077065316142,14.1541374954942,25.9568664645826,31.479537083347,41.3180971181453,35.640483503523,16.0104545860051,29.539596866181
"ENSMUSG00000019877.10",6849.69982010544,5914.76815911101,7207.43349507638,5843.90247582286,9368.61253138266,5531.50783229463,3851.00581760905,5827.49943367121
"ENSMUSG00000019878.8",535.938931629779,448.709487873108,529.742402216994,476.018290352724,866.297868991481,507.553412307939,353.082946794165,536.082370273372
"ENSMUSG00000019880.10",5,5,2,7,4,3,1,1
"ENSMUSG00000019883.11",1844.42119751631,1626.24259515166,1732.40264435244,1443.22594436822,2173.32681965104,1299.66436401708,919.715660813858,1324.9094902049
"ENSMUSG00000019888.16",14,9,14,9,73,55,37,46
"ENSMUSG00000019889.10",3726.66702852424,3119.74795107663,3930.49859676911,3156.35712213049,6657.60235591919,3781.99487630723,2911.24233572713,4284.24269167554
"ENSMUSG00000019890.4",28,20,27,18,41,20,13,19
"ENSMUSG00000019891.15",505.110408917279,442.038141995971,503.698083121823,422.661276413441,676.868112317774,393.330196034475,303,373.930221011656
"ENSMUSG00000019892.13",0,0,0,0,0,0,0,1
"ENSMUSG00000019893.13",0,0,0,0,0,0,0,0
"ENSMUSG00000019894.14",0,1,2,0,1.00147193432324,0,1.00264094890838,0
"ENSMUSG00000019897.8",1297.26465830309,1105.6968352523,1371.92810241018,1136.34813658598,1957.03265424954,1123.42930517407,814.434913851552,1242.11521533965
"ENSMUSG00000019899.16",42,18.2770274012652,28,28,46,27.4067482874653,16.8475614281903,32
"ENSMUSG00000019900.19",0,0,0,0,0,0,0,0
"ENSMUSG00000019905.8",0,0,0,0,0,0,0,0
"ENSMUSG00000019906.15",0,0,0,1.0000738226828,1,0,0,0
"ENSMUSG00000019907.10",3287,2710,3308,2756,4807,2593,1940,2881
"ENSMUSG00000019909.4",0,0,0,0,0,0,0,0
